sample_name,CST,oCST,center_name,experiment_design_description,instrument_model,library_construction_protocol,linker,orig_name,project_name,run_center,run_date,run_prefix,sample_plate,target_gene,target_subfragment,well_description,well_id,qiita_prep_id,birthplace,cage,env_biome,env_feature,env_material,env_package,facility,geo_loc_name,host_age,host_age_units,host_body_habitat,host_body_product,host_body_site,host_common_name,host_life_stage,host_scientific_name,mouse,host_subject_id,host_taxid,qiita_study_id,room_number,sample_type,scientific_name,taxon_id,tp_char,title,timepoint,treatment,trx,tube_number,Description
12502.1C1,5,4,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1C1,MoMI Seed Patras,UCSDMI,7/18/19,RERUN_MoMI_Seed_Patras_1-2_Paulus_LIBR_38_41_44_45_S1_L001,MoMI_Seed_Patras_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Plate_1_12502.1C1_F4,F4,7298,Jackson Labs,C1,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C01,C1,10090,12502,B226,vaginal mucus,mouse metagenome,1441287,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,Control_GBS,2,,Vaginal lavage day 1
12502.2C1,3,2,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2C1,MoMI Seed Patras,UCSDMI,7/18/19,RERUN_MoMI_Seed_Patras_1-2_Paulus_LIBR_38_41_44_45_S1_L001,MoMI_Seed_Patras_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Plate_1_12502.2C1_B6,B6,7298,Jackson Labs,C1,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C01,C1,10090,12502,B226,vaginal mucus,mouse metagenome,1441287,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,Control_GBS,2,,Vaginal lavage day 2
12502.3C1,3,2,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3C1,MoMI Seed Patras,UCSDMI,7/18/19,RERUN_MoMI_Seed_Patras_1-2_Paulus_LIBR_38_41_44_45_S1_L001,MoMI_Seed_Patras_Plate_2,16S rRNA,V4,MoMI_Seed_Patras_Plate_2_12502.3C1_C2,C2,7298,Jackson Labs,C1,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C01,C1,10090,12502,B226,vaginal mucus,mouse metagenome,1441287,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,Control_GBS,2,,Vaginal lavage day 3
12502.6C1,3,2,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,6C1,MoMI Seed Patras,UCSDMI,7/18/19,RERUN_MoMI_Seed_Patras_1-2_Paulus_LIBR_38_41_44_45_S1_L001,MoMI_Seed_Patras_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Plate_1_12502.6C1_H7,H7,7298,Jackson Labs,C1,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C01,C1,10090,12502,B226,vaginal mucus,mouse metagenome,1441287,d6,Impact of human milk oligosaccharides on mouse vaginal microbiota,6,Control_GBS,2,,Vaginal lavage day 6
12502.0C10,3,2,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,0C10,MoMI Seed Patras,UCSDMI,7/18/19,RERUN_MoMI_Seed_Patras_1-2_Paulus_LIBR_38_41_44_45_S1_L001,MoMI_Seed_Patras_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Plate_1_12502.0C10_E7,E7,7298,Jackson Labs,C2,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C10,C10,10090,12502,B226,vaginal mucus,mouse metagenome,1441287,d0,Impact of human milk oligosaccharides on mouse vaginal microbiota,0,Control_GBS,2,,Vaginal lavage day 0
12502.1C10,3,2,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,1C10,MoMI Seed Patras,UCSDMI,7/18/19,RERUN_MoMI_Seed_Patras_1-2_Paulus_LIBR_38_41_44_45_S1_L001,MoMI_Seed_Patras_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Plate_1_12502.1C10_B9,B9,7298,Jackson Labs,C2,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C10,C10,10090,12502,B226,vaginal mucus,mouse metagenome,1441287,d1,Impact of human milk oligosaccharides on mouse vaginal microbiota,1,Control_GBS,2,,Vaginal lavage day 1
12502.2C10,3,2,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,2C10,MoMI Seed Patras,UCSDMI,7/18/19,RERUN_MoMI_Seed_Patras_1-2_Paulus_LIBR_38_41_44_45_S1_L001,MoMI_Seed_Patras_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Plate_1_12502.2C10_H2,H2,7298,Jackson Labs,C2,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C10,C10,10090,12502,B226,vaginal mucus,mouse metagenome,1441287,d2,Impact of human milk oligosaccharides on mouse vaginal microbiota,2,Control_GBS,2,,Vaginal lavage day 2
12502.3C10,5,4,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,3C10,MoMI Seed Patras,UCSDMI,7/18/19,RERUN_MoMI_Seed_Patras_1-2_Paulus_LIBR_38_41_44_45_S1_L001,MoMI_Seed_Patras_Plate_1,16S rRNA,V4,MoMI_Seed_Patras_Plate_1_12502.3C10_F5,F5,7298,Jackson Labs,C2,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C10,C10,10090,12502,B226,vaginal mucus,mouse metagenome,1441287,d3,Impact of human milk oligosaccharides on mouse vaginal microbiota,3,Control_GBS,2,,Vaginal lavage day 3
12502.6C10,6,6,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,6C10,MoMI Seed Patras,UCSDMI,7/18/19,RERUN_MoMI_Seed_Patras_1-2_Paulus_LIBR_38_41_44_45_S1_L001,MoMI_Seed_Patras_Plate_2,16S rRNA,V4,MoMI_Seed_Patras_Plate_2_12502.6C10_B11,B11,7298,Jackson Labs,C2,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C10,C10,10090,12502,B226,vaginal mucus,mouse metagenome,1441287,d6,Impact of human milk oligosaccharides on mouse vaginal microbiota,6,Control_GBS,2,,Vaginal lavage day 6
12502.0C11,1,1,UCSDMI,mouse vaginal samples from a study to assess the influence of HMO on GBS colonization,Illumina MiSeq,"Illumina EMP protocol 515fbc, 806r amplification of 16S rRNA V4",GT,0C11,Momi Seed Patras,UCSDMI,10/11/19,RERUN_IBD_200_1-3_MoMi_Patras_Seed_1-3_S1_L001,Momi_Patras_Seed_Plate_2,16S rRNA,V4,Momi_Patras_Seed_Plate_2_0C11_B2,B2,7837,Jackson Labs,C5,urban biome,animal-associated habitat,mucus,host-associated,BRF-II,USA:CA:San Diego,8,weeks,reproductive system,mucus,vagina,C57/Bl6,adult,Mus musculus,C11,C11,10090,12502,B226,vaginal mucus,mouse metagenome,410661,d0,Impact of human milk oligosaccharides on mouse vaginal microbiota,0,Control_GBS,2,,Vaginal lavage day 0
